voltage_v,voltage_kv,momentum_kg_m_s,wavelength_m,wavelength_pm,d1_maximum_bragg_order,d1_maximum_screen_order,d1_n1_bragg_ratio_q,d1_n1_phi_rad,d1_n1_phi_deg,d1_n1_photo_radius_m,d1_n1_photo_radius_mm,d1_n1_caliper_diameter_m,d1_n1_caliper_diameter_mm,d2_maximum_bragg_order,d2_maximum_screen_order,d2_n1_bragg_ratio_q,d2_n1_phi_rad,d2_n1_phi_deg,d2_n1_photo_radius_m,d2_n1_photo_radius_mm,d2_n1_caliper_diameter_m,d2_n1_caliper_diameter_mm
3330,3.3300000000000001,3.1177178506950845e-23,2.1252949969551415e-11,21.252949969551416,11,8,0.086394105567282165,0.17300388316559182,9.9123923447628037,0.022044417818048081,22.044417818048082,0.022378481165565674,22.378481165565674,20,14,0.049889553919134771,0.099820545427567506,5.7192959616935255,0.012890641604709549,12.890641604709549,0.012955131409119011,12.95513140911901
3340,3.3399999999999999,3.1223955995382582e-23,2.1221110326250354e-11,21.221110326250354,11,8,0.086264676122968911,0.17274405424426373,9.8975052441752673,0.022012638950812416,22.012638950812416,0.02234520688121415,22.34520688121415,20,14,0.049814812972418666,0.099670877437953026,5.7107206175604084,0.012871570644082467,12.871570644082468,0.012935771280322268,12.935771280322268
3350,3.3500000000000001,3.1270663509892115e-23,2.1189413355120906e-11,21.189413355120905,11,8,0.086135826646832947,0.17248539250913161,9.8826850184306654,0.021980996934084916,21.980996934084917,0.022312080570986867,22.312080570986868,20,14,0.049740406936903535,0.099521880659512132,5.7021837309946992,0.012852584064798719,12.85258406479872,0.012916497687444427,12.916497687444426
3360,3.3599999999999999,3.1317301363562738e-23,2.1157857993822365e-11,21.157857993822365,11,8,0.086007552820416111,0.17222788924764762,9.8679311683367796,0.021949490789925995,21.949490789925996,0.022279101141449327,22.279101141449328,20,14,0.049666333318831843,0.099373550090263454,5.6936850154039771,0.012833681246523071,12.833681246523071,0.012897309987741998,12.897309987741998
3370,3.3700000000000001,3.1363869867149983e-23,2.1126443191055451e-11,21.126443191055451,11,8,0.085879850370144103,0.17197153583804287,9.8532431999026393,0.021918119550136356,21.918119550136357,0.022246267510444506,22.246267510444508,20,14,0.049592589650364907,0.099225880780256473,5.685224187176968,0.012814861575285229,12.81486157528523,0.012878207545135195,12.878207545135195
3380,3.3799999999999999,3.1410369329105772e-23,2.1095167906415186e-11,21.095167906415185,11,8,0.08575271506672838,0.17171632374811507,9.8386206242690637,0.021886882256132802,21.886882256132804,0.022213578606943774,22.213578606943774,20,14,0.049519173489237518,0.099078867830877673,5.6768009656437926,0.012796124443396137,12.796124443396137,0.012859189730119354,12.859189730119354
3390,3.3900000000000001,3.1456800055602267e-23,2.1064031110246183e-11,21.064031110246184,11,8,0.085626142724577969,0.17146224453403575,9.8240629576403169,0.021855777958826032,21.855777958826032,0.022181033370900213,22.181033370900213,20,14,0.049446082418418268,0.098932506394168063,5.6684150730368605,0.012777469249365611,12.777469249365611,0.012840255919677827,12.840255919677826
3400,3.3999999999999999,3.1503162350555362e-23,2.103303178350027e-11,21.03303178350027,11,8,0.085500129201220604,0.17120928983917683,9.8095697212168815,0.021824805718500258,21.824805718500258,0.022148630753104265,22.148630753104264,20,14,0.049373314045775281,0.098786791672151625,5.6600662344523966,0.012758895397821275,12.758895397821275,0.012821405497196244,12.821405497196244
3410,3.4100000000000001,3.1549456515647919e-23,2.10021689175964e-11,21.0021689175964,11,8,0.085374670396733326,0.17095745139295618,9.7951404411293055,0.021793964604694755,21.793964604694754,0.0221163697150417,22.116369715041699,20,14,0.049300866003747418,0.098641718916174792,5.6517541778125926,0.012740402299428822,12.740402299428821,0.012802637852378179,12.802637852378179
3420,3.4199999999999999,3.1595682850352658e-23,2.0971441514282835e-11,20.971441514282834,11,8,0.085249762253182246,0.17070672100970186,9.7807746483731357,0.021763253696087146,21.763253696087148,0.022084249228753884,22.084249228753883,20,14,0.04922873594902074,0.098497283426256424,5.6434786338283658,0.012721989370813508,12.721989370813509,0.012783952381162169,12.78395238116217
3430,3.4300000000000002,3.1641841651954762e-23,2.094084858550152e-11,20.94084858550152,11,8,0.085125400754071212,0.17045709058753467,9.7664718787448859,0.021732672080378577,21.732672080378578,0.022052268276700229,22.052268276700229,20,14,0.049156921562210139,0.09835348055044825,5.6352393359627131,0.012703656034482905,12.703656034482906,0.012765348485640047,12.765348485640047
3440,3.4399999999999999,3.1687933215574178e-23,2.0910389153254648e-11,20.910389153254648,11,8,0.085001581923799377,0.17020855210726832,9.752231672779029,0.021702218854180538,21.702218854180536,0.022020425851622848,22.02042585162285,20,14,0.049085420547546117,0.098210305684205579,5.6270360203946588,0.012685401718750872,12.685401718750873,0.012746825573976587,12.746825573976587
3450,3.4500000000000002,3.1733957834187645e-23,2.0880062249473333e-11,20.880062249473333,11,8,0.084878301827127356,0.16996109763132761,9.7380535756860045,0.021671893122903498,21.671893122903498,0.021988720956413337,21.988720956413339,20,14,0.049014230632566505,0.098067754269768034,5.6188684259837665,0.012667225857662725,12.667225857662725,0.012728383060330433,12.728383060330433
3460,3.46,3.177991579865041e-23,2.084986691588839e-11,20.849866915888391,11,8,0.084755556568651982,0.16971471930268359,9.723937137291216,0.02164169400064719,21.641694000647192,0.021957152603981699,21.957152603981697,20,14,0.04894334956781312,0.097925821795550136,5.6107362942352319,0.012649127890921569,12.649127890921569,0.012710020364776269,12.71002036477627
3470,3.4700000000000002,3.1825807397717659e-23,2.0819802203903172e-11,20.819802203903173,11,8,0.084633342292289304,0.1694694093438058,9.7098819119749908,0.021611620610092593,21.611620610092594,0.021925719817127289,21.925719817127288,20,14,0.048872775126533263,0.097784503795541711,5.6026393692655194,0.012631107263815822,12.631107263815823,0.012691736913228247,12.691736913228247
3480,3.48,3.1871632918065714e-23,2.078986717446837e-11,20.78986717446837,11,8,0.084511655180765727,0.16922516005563101,9.6958874586135,0.021581672082395503,21.581672082395503,0.021894421628411799,21.894421628411799,20,14,0.048802505104385843,0.097643795848717435,5.5945773977685374,0.012613163427147814,12.613163427147814,0.012673532137364578,12.673532137364578
3490,3.4900000000000002,3.1917392644312916e-23,2.0760060897958849e-11,20.760060897958848,11,8,0.084390491455117261,0.16898196381654809,9.6819533405205949,0.02155184755708173,21.551847557081729,0.021863257080034223,21.863257080034224,20,14,0.048732537319152225,0.097503693578456105,5.5865501289823616,0.012595295837163538,12.595295837163537,0.012655405474553358,12.655405474553358
3500,3.5,3.196308685904023e-23,2.0730382454052385e-11,20.730382454052386,11,8,0.084269847374196682,0.16873981308139954,9.6680791253905927,0.021522146181943907,21.522146181943906,0.021832225223707823,21.832225223707823,20,14,0.048662869610451603,0.097364192651968814,5.5785573146564751,0.012577503955483493,12.577503955483493,0.012637356367779531,12.637356367779532
3510,3.5099999999999998,3.2008715842811633e-23,2.0700830931610308e-11,20.700830931610309,11,8,0.084149719234188236,0.16849870038049783,9.654264385241925,0.021492567112939787,21.492567112939788,0.021801325120538912,21.801325120538912,20,14,0.048593499839460812,0.097225288779736088,5.5705987090195155,0.012559787249034567,12.559787249034567,0.01261938426557299,12.61938426557299
3520,3.52,3.2054279874194188e-23,2.0671405428560021e-11,20.671405428560021,11,8,0.08403010336813016,0.16825861831865785,9.6405086963616942,0.02146310951409211,21.46310951409211,0.021770555840907622,21.770555840907623,20,14,0.048524425888638548,0.097086977714954031,5.5626740687475431,0.012542145189983011,12.542145189983012,0.012601488621937825,12.601488621937825
3530,3.5299999999999998,3.2099779229777903e-23,2.0642105051779341e-11,20.642105051779343,11,8,0.083910996145444464,0.16801955957424414,9.626811639251093,0.02143377255738993,21.433772557389929,0.021739916464350452,21.739916464350451,20,14,0.048455645661453849,0.096949255252988795,5.5547831529327842,0.012524577255668402,12.524577255668401,0.012583668896282638,12.583668896282637
3540,3.54,3.2145214184195304e-23,2.0612928916982643e-11,20.612928916982643,11,8,0.083792393971474144,0.16778151689823309,9.6131727985716591,0.021404555422691447,21.404555422691448,0.021709406079444653,21.709406079444651,20,14,0.048387157082118874,0.09681211723083992,5.5469257230528823,0.012507082928538665,12.507082928538665,0.012565924553351976,12.565924553351977
3550,3.5499999999999998,3.219058501014079e-23,2.0583876148608768e-11,20.583876148608766,11,8,0.083674293287027496,0.16754448311328965,9.5995917630923877,0.021375457297628242,21.375457297628241,0.021679023783694382,21.679023783694383,20,14,0.048318958095325742,0.096675559526611637,5.5391015429406059,0.012489661696086056,12.489661696086056,0.012548255063158787,12.548255063158786
3560,3.5600000000000001,3.2235891978389727e-23,2.0554945879710663e-11,20.554945879710662,11,8,0.083556690567929512,0.16730845111285839,9.586068125637647,0.021346477377510956,21.346477377510954,0.021648768683418609,21.648768683418609,20,14,0.048251046665987472,0.096539578058992603,5.5313103787540401,0.012472313050784136,12.472313050784136,0.012530659900917949,12.53065990091795
3570,3.5699999999999998,3.2281135357817286e-23,2.052613725184673e-11,20.52613725184673,11,8,0.083439582324580194,0.16707341386026855,9.5726014830358999,0.021317614865236371,21.317614865236372,0.02161863989364074,21.61863989364074,20,14,0.048183420778982931,0.096404168786743544,5.523551998947231,0.012455036490025705,12.455036490025705,0.012513138546980794,12.513138546980795
3580,3.5800000000000001,3.2326315415417074e-23,2.0497449414973822e-11,20.497449414973822,12,8,0.083322965101519597,0.16683936438785299,9.5591914360692236,0.021288868971195807,21.288868971195807,0.021588636537979926,21.588636537979927,20,14,0.048116078438905682,0.096269327708192784,5.5158261742412806,0.012437831516061669,12.437831516061669,0.012495690486770664,12.495690486770664
