initial_n,final_n,series_name,line_name,ideal_energy_ev,corrected_energy_ev,ideal_frequency_hz,corrected_frequency_hz,ideal_wavelength_nm,corrected_wavelength_nm,wavelength_shift_nm,wavelength_shift_pm,relative_shift
5,2,Balmer,H-gamma,2.857195555828008,2.855640325499491,690866811652496.2,690490758632164.4,433.9366907536364,434.17302006166943,0.23632930803302088,236.32930803302088,0.0005446170214889588
6,2,Balmer,H-delta,3.0234873606645585,3.0218416142851754,731075991166662.5,730678051462607.6,410.0701727621865,410.29350395827765,0.22333119609118057,223.33119609118057,0.0005446170214888998
7,2,Balmer,,3.1237560741559856,3.1220557494527963,755320858220659.0,754909721536622.8,396.90742647599274,397.1235890164069,0.2161625404141887,216.1625404141887,0.0005446170214889226
8,2,Balmer,,3.1888343257009018,3.1870985775663963,771056709433589.4,770637007401969.0,388.80727491525823,389.0190259752558,0.21175105999753896,211.75105999753896,0.000544617021488836
9,2,Balmer,,3.2334517607107087,3.2316917263883127,781845157219903.0,781419582814177.6,383.44223946594053,383.65106863631144,0.20882917037090465,208.82917037090465,0.000544617021488719
10,2,Balmer,,3.2653663495177234,3.2635889434279894,789562070459995.5,789132295579616.2,379.69460440943186,379.90139255396076,0.20678814452890038,206.78814452890038,0.0005446170214889775
4,3,Paschen,Paschen-alpha,0.6613878601453721,0.661027853124882,159922873067707.4,159835823757445.4,1874.6065040557096,1875.6274466664122,1.0209426107026047,1020.9426107026047,0.0005446170214889345
5,3,Paschen,Paschen-beta,0.9675159554126586,0.966989316571256,233944317173331.97,233816976468034.4,1281.469289881833,1282.1671998696177,0.6979099877846693,697.9099877846693,0.000544617021488689
6,3,Paschen,Paschen-gamma,1.1338077602492094,1.1331906053569407,274153496687498.44,274004269298477.88,1093.520460699164,1094.116010555407,0.5955498562429966,595.5498562429966,0.0005446170214887611
7,3,Paschen,Paschen-delta,1.2340764737406362,1.2334047405245614,298398363741494.94,298235939372492.94,1004.6719232673566,1005.21908469778,0.5471614304233299,547.1614304233299,0.0005446170214888377
8,3,Paschen,,1.2991547252855524,1.2984475686381611,314134214954425.3,313963225237839.25,954.345129337452,954.8648819392641,0.5197526018121152,519.7526018121152,0.000544617021488809
9,3,Paschen,,1.3437721602953594,1.343040717460078,324922662740738.9,324745800650047.8,922.6578887149194,923.1603839061246,0.5024951912051847,502.4951912051847,0.0005446170214889307
10,3,Paschen,,1.375686749102374,1.3749379344997548,332639575980831.44,332458513415486.5,901.2531269498604,901.7439647434672,0.4908377936068291,490.8377936068291,0.000544617021488721
5,4,Brackett,Brackett-alpha,0.30612809526728657,0.30596146344637404,74021444105624.58,73981152710589.02,4050.0757803672727,4052.281520575581,2.2057402083082707,2205.7402083082707,0.0005446170214889775
6,4,Brackett,Brackett-beta,0.47241990010383733,0.4721627522320587,114230623619791.03,114168445541032.45,2624.449105677993,2625.8784253329763,1.4293196549833738,1429.3196549833738,0.0005446170214888306
7,4,Brackett,Brackett-gamma,0.572688613595264,0.5723768873996793,138475490673787.5,138400115615047.52,2164.9495989599604,2166.12866736222,1.1790684022594178,1179.0684022594178,0.0005446170214890181
8,4,Brackett,Brackett-delta,0.6377668651401803,0.6374197155132793,154211341886717.88,154127401480393.8,1944.036374576291,1945.0951298762786,1.0587552999875243,1058.7552999875243,0.0005446170214887483
9,4,Brackett,,0.6823843001499872,0.6820128643351958,164999789673031.47,164909976892602.4,1816.9263039309183,1817.9158329228298,0.9895289919115839,989.528991911584,0.0005446170214888402
